ID,Nombre del Proyecto,Fecha (YYYY-MM-DD),Latitud,Longitud,Cliente
2015-001,PruebaAAaA,2015-07-18,20.0,-100.0,Cliente 2 de Empresa 2
2017-001,YaP,2017-09-04,20.0,-100.0,Cliente 2 de Empresa 3
2017-002,ptm,2017-04-07,20.0,-100.0,Cliente 1 de Empresa 2
2018-001,F,2018-03-03,20.0,-100.0,Cliente 2 de Empresa 3
2018-002,F,2018-03-03,20.0,-100.0,Cliente 2 de Empresa 3
2018-003,F,2018-03-03,20.0,-100.0,Cliente 2 de Empresa 3
2018-004,F,2018-04-04,20.0,-100.0,Cliente 2 de Empresa 4
2018-005,Yaaaaaa,2018-03-04,20.0,-100.0,Cliente 2 de Empresa 3
2019-001,PruebaD,2019-03-06,20.0,-100.0,Cliente 2 de Empresa 2
2019-002,PruebaFinal,2019-05-05,20.0,-100.0,Cliente 2 de Empresa 4
2019-003,Yaaa,2019-03-04,20.0,-100.0,Cliente 1 de Empresa 3
2019-004,Bueno,2019-04-02,20.0,-100.0,Cliente 2 de Empresa 3
2020-001,Prueba,2020-06-04,20.0,-100.0,MS
2020-002,Prueba 2,2020-02-04,20.0,-100.0,MS
2020-003,PruebaA,2020-02-09,20.0,-100.0,Cliente 2 de Empresa 3
2020-004,PruebaB,2020-08-08,20.0,-100.0,Cliente 2 de Empresa 1
2020-005,PruebaC,2020-05-05,20.0,-100.0,Cliente 2 de Empresa 3
2020-006,PruebaG,2020-02-05,20.0,-100.0,Cliente 2 de Empresa 3
2020-007,PruebaFac,2020-03-04,20.0,-100.0,Cliente 2 de Empresa 2
2020-008,F,2020-03-03,20.0,-100.0,Cliente 2 de Empresa 3
2020-009,H,2020-03-03,20.0,-100.0,Cliente 2 de Empresa 4
2020-010,Mariana,2020-03-04,20.0,-100.0,Cliente 1 de Empresa 3
2021-001,PRUEBAS DE PERMEABILIDAD OMETEPEC GUERRERO,2021-01-02,16.68912,-98.4351,Otro
2021-002,EMS LINARES ROMA SUR CDMX,2021-01-03,19.40568,-99.160385,Otro
2021-003,EMS BODEGA 4 SAKURA P&G,2021-01-06,19.50204,-99.16644,Otro
2021-004,ESTABILIDAD DE TALUD EN SAYAVEDRA,2021-01-02,19.568274,-99.320366,Otro
2021-005,SEGUNDA ETAPA SOCAVON ALVARO OBREGON,2021-01-02,19.3598,-99.231224,Otro
2021-006,AV. CENTENARIO ENTRE CARLOS A. MADRAZO Y CIRCUITO VALENTÍN GOMEZ FARÍAS,2021-01-03,19.3598,-99.231224,Otro
2021-007,CALLE ALFEÑIQUE Y CALLE FELIPE ÁNGELES,2021-01-04,19.35692,-99.245705,Otro
2021-008,CALLE JAZMÍN MZ. 24 LT. 20,2021-01-04,19.31438,-99.26807,Otro
2021-009,CALLE ABADEJOS Y CALLE PETRELES,2021-01-03,19.3444,-99.23197,Otro
2021-010,CALLE CDA. GARZA No. 27 Y No. 32,2021-01-04,19.39796,-99.19252,Otro
2021-011,ANDADOR PRESA JERÓNIMO MZ. 11 LT. 14,2021-01-04,19.38212,-99.21527,Otro
2021-012,BAJADA DE TECALCAPA #24-#26 y #33,2021-01-04,19.34464,-99.22563,Otro
2021-013,ANDADOR TULIPANES Y AV. MEXICO 68,2021-01-03,19.32358,-99.25815,Otro
2021-014,CALLE GARDENIA MZ. 42 LT.51,2021-01-04,19.3337,-99.2493,Otro
2021-015, CALLE MAGNOLIA MZ. 34 LT.8,2021-01-04,19.33331,-99.249565,Otro
2021-016,CALLE 11 DE NOVIEMBRE Y 16 DE SEPTIEMBRE,2021-01-04,19.36182,-99.217316,Otro
2021-017,AV. MARIANO HERNÁNDEZ BERRENECHEA,2021-01-03,19.3742,-99.25019,Otro
2021-018,ANDADOR 6A,2021-01-04,19.35241,-99.21959,Otro
2021-019,CALLE FELIPE ÁNGELES MZ. 3 LT. 2,2021-01-04,19.3581,-99.2445,Otro
2021-020,5TA CDA DE PITAGORAS,2021-01-04,19.35133,-99.2366,Otro
2021-021,CALLE MELCHOR OCAMPO Y RIO TACUBAYA,2021-01-04,19.39488,-99.212326,Otro
2021-022,CALLE DEL RECUERDO (PANTEÓN),2021-01-04,19.34284,-99.227745,Otro
2021-023,CERRADA DE FRESNO MZ. 8 LT. 8,2021-01-03,19.32213,-99.26877,Otro
2021-024,CALLE VERANO Y OTOÑO,2021-01-04,19.36142,-99.25336,Otro
2021-025,EMS-VIRREYES 1145 LOMAS DE CHAPULTEPEC,2021-01-03,19.4132,-99.21798,Otro
2021-026,EMS THE PARK SAN LUIS,2021-01-06,22.11745,-101.00837,Otro
2021-027,DICTAMEN TECNICO ALBANY INTERNATIONAL,2021-01-03,19.66149,-99.18066,Otro
2021-028,EMS 3ER  LINEA DE CONDUCCION DURANGO 35 KM IGH,2021-01-06,25.51269,-103.53051,Otro
2021-029,CALAS-TUBERIAS PROCTER,2021-01-03,19.50337,-99.168915,Otro
